#Date	         Open	High	Low	Close
10-Jun-04	90.23	90.75	89.89	90.46
9-Jun-04	89.90	90.55	89.81	90.09
8-Jun-04	88.64	90.50	88.40	90.04
7-Jun-04	88.75	88.99	88.01	88.64
4-Jun-04	87.95	88.49	87.50	87.56
3-Jun-04	87.85	88.10	87.35	87.35
2-Jun-04	88.64	88.64	87.89	87.98
1-Jun-04	88.00	88.48	87.30	88.12
